Title,Author,Rating,IMG_URL
Notes on Nationalism,"Orwell, George",4.02,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1522454516l/39339934._SX50_.jpg
The Distance of the Moon,"Calvino, Italo",3.90,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1519387686l/36436072._SX50_.jpg
Of Dogs and Walls,"Tsushima, Yūko",3.66,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1517680170l/36436102._SX50_.jpg
დედამიწიდან მთვარემდე,"Verne, Jules",3.78,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
Around the World in Eighty Days,"Verne, Jules",3.94,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1308815551l/54479._SY75_.jpg
საიდუმლო კუნძული,"Verne, Jules",4.12,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
ვამპირული ომები: პირველი ნადირობა,"Davies, Katie Ruth",3.85,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1447246489l/27799694._SY75_.jpg
ტრაგედია უგმიროთ - მოთხრობები,"Lortkipanidze, Niko",4.50,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1483530168l/24759257._SX50_.jpg
თავსაფრიანი დედაკაცი,"Lortkipanidze, Niko",4.18,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1422610507l/24759157._SX50_.jpg
კლოუნის თვალთახედვა,"Böll, Heinrich",3.97,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377990336l/17410492._SX50_.jpg
ბალადა მოქნილ ტყვიაზე,"King, Stephen",3.64,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1488557639l/34455693._SX50_.jpg
ყვავილები ელჯერნონისთვის,"Keyes, Daniel",4.17,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424972114l/25025844._SX50_.jpg
ბილი მილიგანის მრავალი გონება,"Keyes, Daniel",4.30,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1449816273l/28171818._SX50_.jpg
ტანმოხატული კაცი,"Bradbury, Ray",4.12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424971916l/25025821._SY75_.jpg
"After You
        (Me Before You, #2)","Moyes, Jojo",3.73,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1539892322l/27774596._SY75_.jpg
პატარა მაწანწალა,"Greenwood, James",4.15,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421916434l/24636568._SX50_.jpg
მაწანწალა რასმუსი,"Lindgren, Astrid",4.15,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1524554269l/30644489._SX50_.jpg
35 კილო იმედი,"Gavalda, Anna",3.81,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430200689l/25442289._SX50_.jpg
დისტოპიესები,"Lordkipanidze, Alexandre",4.27,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1498217351l/35502154._SX50_.jpg
